id,Failure_Prediction,Failure_Probability
136429,0,0.00801340217258949
136430,0,0.00801340217258949
136431,0,0.00801340217258949
136432,0,0.00801340217258949
136433,0,0.00801340217258949
136434,0,0.00801340217258949
136435,0,0.00801340217258949
136436,0,0.00801340217258949
136437,0,0.00801340217258949
136438,0,0.00801340217258949
136439,0,0.00801340217258949
136440,0,0.00801340217258949
136441,0,0.00801340217258949
136442,0,0.00801340217258949
136443,0,0.00801340217258949
136444,0,0.00801340217258949
136445,0,0.00801340217258949
136446,1,0.9006866190485106
136447,0,0.00801340217258949
136448,0,0.00801340217258949
136449,0,0.00801340217258949
136450,0,0.00801340217258949
136451,0,0.00801340217258949
136452,0,0.013430653086251493
136453,0,0.00801340217258949
136454,0,0.00801340217258949
136455,0,0.00801340217258949
136456,0,0.00801340217258949
136457,0,0.00801340217258949
136458,0,0.00801340217258949
136459,0,0.00801340217258949
136460,0,0.008765867381530457
136461,0,0.00801340217258949
136462,0,0.024563542463721222
136463,0,0.00801340217258949
136464,0,0.00801340217258949
136465,0,0.00801340217258949
136466,0,0.00801340217258949
136467,0,0.00801340217258949
136468,0,0.00801340217258949
136469,0,0.00801340217258949
136470,0,0.00801340217258949
136471,0,0.00801340217258949
136472,0,0.00801340217258949
136473,0,0.00801340217258949
136474,0,0.00801340217258949
136475,0,0.00801340217258949
136476,0,0.010211189661772329
136477,0,0.00801340217258949
136478,0,0.00801340217258949
136479,0,0.00801340217258949
136480,0,0.00801340217258949
136481,0,0.00801340217258949
136482,0,0.02548749380563809
136483,0,0.00801340217258949
136484,0,0.00801340217258949
136485,0,0.00801340217258949
136486,0,0.00801340217258949
136487,0,0.00801340217258949
136488,0,0.008765867381530457
136489,0,0.00801340217258949
136490,0,0.028538603564927
136491,0,0.008765867381530457
136492,0,0.00801340217258949
136493,0,0.008765867381530457
136494,0,0.00801340217258949
136495,0,0.00801340217258949
136496,0,0.00801340217258949
136497,0,0.00801340217258949
136498,0,0.013430653086251493
136499,0,0.00801340217258949
136500,0,0.00801340217258949
136501,0,0.00801340217258949
136502,0,0.00801340217258949
136503,0,0.00801340217258949
136504,0,0.00801340217258949
136505,0,0.00801340217258949
136506,0,0.00801340217258949
136507,0,0.00801340217258949
136508,0,0.00801340217258949
136509,0,0.00801340217258949
136510,0,0.00801340217258949
136511,0,0.00801340217258949
136512,0,0.00801340217258949
136513,0,0.00801340217258949
