PassengerId,Survived_pred,Probabilty
892,0,0.15448203033375268
893,0,0.4150585613693058
894,0,0.1257593012493637
895,0,0.1417540735118016
896,0,0.46182629553398363
897,0,0.17501778580483598
898,1,0.8580099049087704
899,0,0.1640833801439847
900,1,0.7875952964595873
901,0,0.09863954225777781
902,0,0.1414077080803285
903,0,0.1522360933903785
904,1,0.8956526374134977
905,0,0.1553326677033446
906,1,0.9173074015378209
907,1,0.8968078704243458
908,0,0.13180874452497143
909,0,0.16657134861275016
910,0,0.4196212868193789
911,1,0.5327536822144076
912,0,0.2673941202439295
913,1,0.5241716168448776
914,1,0.9089225938039154
915,0,0.28414949115572
916,1,0.5185953821138721
917,0,0.134051644173642
918,1,0.9020839934131035
919,0,0.1614141357420008
920,0,0.1513078257730346
921,0,0.15210236616267894
922,0,0.15091220753091614
923,0,0.1340784180676009
924,0,0.337620521826374
925,0,0.36904165242829245
926,0,0.21219094509741782
927,0,0.17817524265723245
928,1,0.5203904644845633
929,1,0.5466708060452855
930,0,0.14229223102991312
931,0,0.2579589776782294
932,0,0.10574975820073752
933,0,0.15205834023811113
934,0,0.15271632372318053
935,1,0.8685730361488823
936,1,0.9183499659814736
937,0,0.14019746472639047
938,0,0.15494723842621422
939,0,0.14884709710714994
940,1,0.8212050920848651
941,0,0.5117984015216401
942,0,0.17701056865313433
943,0,0.12920538277016505
944,1,0.7490903007891395
945,1,0.860844231385488
946,0,0.1283058109400817
947,0,0.12500960946656628
948,0,0.14897139741920803
949,0,0.13984261718653387
950,0,0.11282086086207972
951,1,0.8328893932976638
952,0,0.155735473110485
953,0,0.1417882975348101
954,0,0.15144626214397253
955,1,0.8667151200585458
956,0,0.5128742189870423
957,1,0.8802818124804079
958,1,0.8646807637847596
959,0,0.15250518530516227
960,0,0.150154029200842
961,0,0.24877218580933905
962,1,0.8665266990493677
963,0,0.14350088134911024
964,1,0.5174447331458029
965,0,0.15229736543324385
966,1,0.8599479711365108
967,0,0.15591289833431785
968,0,0.14161216438592683
969,1,0.8092484412662121
970,0,0.13952779240409857
971,1,0.8665266990493677
972,1,0.6485354062905647
973,0,0.5
